audio_path,model,true_transcription,predicted_transcription,latency,wer,mer,wil,wip,cer
labs/experiment_dataset/segment_9.wav,faster_whisper_base.en_cpu_int16,this was a visualization done by fernando viegas and martin wattenberg two amazing visualization designers who looked at a weekend 's worth of twitter traffic," This was a visualization done by Fernando Vias and Martin Wadenberg, two amazing visualization designers who looked at a weekend's worth of Twitter traffic",1.05698823928833,0.32,0.32,0.5183333333333333,0.48166666666666674,0.0759493670886076
labs/experiment_dataset/segment_8.wav,faster_whisper_base.en_cpu_int16,and that is that the more tightly linked we 've become to each other the harder it is for each of us to remain independent," And that is that the more tightly linked we come to each other,  the harder it is for each of us to remain independent.",1.0027351379394531,0.2,0.2,0.33333333333333326,0.6666666666666667,0.08196721311475409
labs/experiment_dataset/segment_19.wav,faster_whisper_base.en_cpu_int16,now, Now.,0.7858331203460693,1.0,1.0,1.0,0.0,0.6666666666666666
labs/experiment_dataset/segment_18.wav,faster_whisper_base.en_cpu_int16,where one side of this little box if the animal goes there the animal gets a pulse of light in order to make different cells in the brain sensitive to light <unk>," where one side of this little box, if the animal goes there,  they only get a pulse of light,  and we're going to make different cells in the brain sensitive to light.",1.0953316688537598,0.34375,0.3333333333333333,0.52734375,0.47265625,0.18518518518518517
labs/experiment_dataset/segment_3.wav,faster_whisper_base.en_cpu_int16,our scientists then use this to go back to another piece of that tissue and do what 's called laser scanning microdissection <unk> so the technician takes the instructions they scribe along a place there <unk> and then the laser actually cuts," Our scientists then use this to go back to another piece of that tissue  and do what's called laser scanning microdise section.  So the technician takes the instructions, they scribe along a place there,  and then the laser actually cuts...",1.2389578819274902,0.23809523809523808,0.23809523809523808,0.3904761904761904,0.6095238095238096,0.09090909090909091
labs/experiment_dataset/segment_15.wav,faster_whisper_base.en_cpu_int16,shortly after we published i got a three word text from johannes," Shortly after we published, I got a three word text from Johannes.",0.8776531219482422,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.4444444444444444,0.078125
labs/experiment_dataset/segment_14.wav,faster_whisper_base.en_cpu_int16,the people 's report card brings together all this data into a simple framework that we 'll all be familiar with from our school days to hold them to account, The People's Record Paul Card brings together all this data into a simple framework that  will all be familiar with from our school days to hold them to account.,1.0406229496002197,0.26666666666666666,0.26666666666666666,0.44367816091954027,0.5563218390804597,0.10828025477707007
labs/experiment_dataset/segment_2.wav,faster_whisper_base.en_cpu_int16,if you 're into knitting you can find someone who is killing it knitting <unk> and you can you can learn from them <unk> it 's wild and that 's what this whole day is about," If you're into knitting, you can find someone who is killing it knitting and you can learn from them.  It's wild.  And that's what this whole day is about.",1.0857021808624268,0.4444444444444444,0.4444444444444444,0.6168582375478926,0.38314176245210735,0.1744186046511628
labs/experiment_dataset/segment_0.wav,faster_whisper_base.en_cpu_int16,so throughout this talk i 've mentioned a few times the special case of uganda and the fact that it 's the only country in sub saharan africa with successful prevention it 's been widely," So throughout this talk, I've mentioned a few times  this special case of Uganda and the fact that  it's the only country in Sub-Saharan Africa  with successful prevention.  It's been widely...",1.1748998165130615,0.42857142857142855,0.42857142857142855,0.631336405529954,0.36866359447004604,0.11827956989247312
labs/experiment_dataset/segment_16.wav,faster_whisper_base.en_cpu_int16,and where they don 't where they may actually undermine values and attitudes worth caring about but to have this debate," and where they don't, where they may actually undermine values and attitudes worth caring about.  But to have this debate...",1.0150742530822754,0.23809523809523808,0.23809523809523808,0.3904761904761904,0.6095238095238096,0.06722689075630252
labs/experiment_dataset/segment_17.wav,faster_whisper_base.en_cpu_int16,medicine it 's a pill called bidil to treat heart failure in <unk>, medicine. It's a pill called BIDIL to treat heart failure in,0.9824886322021484,0.38461538461538464,0.38461538461538464,0.5524475524475524,0.4475524475524476,0.21212121212121213
labs/experiment_dataset/segment_1.wav,faster_whisper_base.en_cpu_int16,and the house next to it and actually every house on the block on both sides of the street maybe a school thrown in and some you know a church they are just incredibly expensive, and the house next to it and actually every house on the block on both sides of the street maybe a school thrown in and so  You know a church. They're just incredibly expensive,1.1214561462402344,0.14285714285714285,0.14285714285714285,0.24369747899159666,0.7563025210084033,0.03954802259887006
labs/experiment_dataset/segment_5.wav,faster_whisper_base.en_cpu_int16,on the order of two thousand two hundred videos covering everything from basic arithmetic all the way to to vector calculus and some of the stuff that you saw," On the order of 2,200 videos covering everything from basic arithmetic all the way to vector calculus and some of the stuff that you saw.",1.0869090557098389,0.2413793103448276,0.2413793103448276,0.3324137931034483,0.6675862068965517,0.18354430379746836
labs/experiment_dataset/segment_13.wav,faster_whisper_base.en_cpu_int16,<unk> salty crispy delicious snacks what 's sitting in the corner of the room makes not a damn bit of difference to your gustatory experience," salty, crispy, delicious snacks.  What's sitting in the corner of the room  makes not a damn bit of difference  to your gustatory experience.",1.1021289825439453,0.28,0.28,0.4365217391304348,0.5634782608695652,0.10638297872340426
labs/experiment_dataset/segment_12.wav,faster_whisper_base.en_cpu_int16,<unk> the greatest innovations and developments, the greatest innovations and developments.,0.8628208637237549,0.3333333333333333,0.3333333333333333,0.4666666666666667,0.5333333333333333,0.14893617021276595
